# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 165629586928
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_NewFromDescr
     0.01%  python   [unknown]                                              [k] 0xffffffff8512d015
     0.01%  python   libc.so.6                                              [.] __errno_location
     0.01%  python   h5d.cpython-311-x86_64-linux-gnu.so                    [.] __Pyx_PyObject_FastCallDict.constprop.0
     0.01%  python   [unknown]                                              [k] 0xffffffff859457a3
     0.01%  python   h5a.cpython-311-x86_64-linux-gnu.so                    [.] __Pyx_PyObject_FastCallDict.constprop.0
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5CX_push
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npyiter_goto_iterindex
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_CheckString(__Pyx_BufFmt_Context*, char const*)
     0.01%  python   array_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_5types_9array_cpu_29inner(_object*, _object* const*, long, _object*)
     0.01%  python   python3.11                                             [.] _PyLong_New
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5S__hyper_release
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I__dec_app_ref
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5T_cmp
