# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u' (time slices: 548190.994246801,548242.361700376)
# Event count (approx.): 131916619162
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   [unknown]                                              [k] 0xffffffff85213882
     0.01%  python   python3.11                                             [.] unicode_find
     0.01%  python   [unknown]                                              [k] 0xffffffff8545f35b
     0.01%  python   python3.11                                             [.] PyObject_VectorcallMethod
     0.01%  python   [unknown]                                              [k] 0xffffffff85432a56
     0.01%  python   [unknown]                                              [k] 0xffffffff85432b5c
     0.01%  python   python3.11                                             [.] _PyLong_FormatAdvancedWriter.cold
     0.01%  python   [unknown]                                              [k] 0xffffffff854579d5
     0.01%  python   libm.so.6                                              [.] __ieee754_pow_fma
     0.01%  python   python3.11                                             [.] PyObject_Str
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CDOUBLE_absolute_FMA3__AVX2
     0.01%  python   [unknown]                                              [k] 0xffffffff86400f33
     0.01%  python   python3.11                                             [.] PyErr_Occurred
     0.01%  python   [unknown]                                              [k] 0xffffffff8549abcb
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] try_trivial_single_output_loop
     0.01%  python   [unknown]                                              [k] 0xffffffff851e29be
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] should_use_min_scalar
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_might_be_written
     0.01%  python   [unknown]                                              [k] 0xffffffff85432ab2
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_PyObject_GetAttrStr(_object*, _object*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] binop_should_defer
     0.01%  python   [unknown]                                              [k] 0xffffffff8549abc7
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyUFunc_CheckOverride
     0.01%  python   [unknown]                                              [k] 0xffffffff8543297b
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] default_builtin_common_dtype
     0.01%  python   python3.11                                             [.] _PyDict_Pop_KnownHash
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_CommonDType
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] check_tzinfo_subclass
     0.01%  python   [unknown]                                              [k] 0xffffffff8545f29f
     0.01%  python   python3.11                                             [.] PySlice_AdjustIndices
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _append_str
     0.01%  python   [unknown]                                              [k] 0xffffffff8545d4d5
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] array_subscript
     0.01%  python   [unknown]                                              [k] 0xffffffff854481a9
     0.01%  python   [unknown]                                              [k] 0xffffffff85433124
     0.00%  python   [unknown]                                              [k] 0xffffffff850d911c


#
# (Cannot load tips.txt file, please install perf!)
#
